algorithm,instance_seed,solver_seed,time_budget,schedule_found,day,shift,doctors
CP-SAT,0,10000,0.1,False,7,day,
CP-SAT,0,10000,0.1,False,7,night,
CP-SAT,0,10000,0.1,False,8,morning,
CP-SAT,0,10000,0.1,False,8,day,
CP-SAT,0,10000,0.1,False,8,night,
CP-SAT,0,10000,0.1,False,9,morning,
CP-SAT,0,10000,0.1,False,9,day,
CP-SAT,0,10000,0.1,False,9,night,
CP-SAT,0,10000,0.1,False,10,morning,
CP-SAT,0,10000,0.1,False,10,day,
CP-SAT,0,10000,0.1,False,10,night,
CP-SAT,0,10000,0.1,False,11,morning,
CP-SAT,0,10000,0.1,False,11,day,
CP-SAT,0,10000,0.1,False,11,night,
CP-SAT,0,10000,0.1,False,12,morning,
CP-SAT,0,10000,0.1,False,12,day,
CP-SAT,0,10000,0.1,False,12,night,
CP-SAT,0,10000,0.1,False,13,morning,
CP-SAT,0,10000,0.1,False,13,day,
CP-SAT,0,10000,0.1,False,13,night,
CP-SAT,0,10000,0.1,False,14,morning,
CP-SAT,0,10000,0.1,False,14,day,
CP-SAT,0,10000,0.1,False,14,night,
CP-SAT,0,10000,0.1,False,15,morning,
CP-SAT,0,10000,0.1,False,15,day,
CP-SAT,0,10000,0.1,False,15,night,
CP-SAT,0,10000,0.1,False,16,morning,
CP-SAT,0,10000,0.1,False,16,day,
CP-SAT,0,10000,0.1,False,16,night,
CP-SAT,0,10000,0.1,False,17,morning,
CP-SAT,0,10000,0.1,False,17,day,
CP-SAT,0,10000,0.1,False,17,night,
CP-SAT,0,10000,0.1,False,18,morning,
CP-SAT,0,10000,0.1,False,18,day,
CP-SAT,0,10000,0.1,False,18,night,
CP-SAT,0,10000,0.1,False,19,morning,
CP-SAT,0,10000,0.1,False,19,day,
CP-SAT,0,10000,0.1,False,19,night,
CP-SAT,0,10000,0.1,False,20,morning,
CP-SAT,0,10000,0.1,False,20,day,
CP-SAT,0,10000,0.1,False,20,night,
CP-SAT,0,10000,0.1,False,21,morning,
CP-SAT,0,10000,0.1,False,21,day,
CP-SAT,0,10000,0.1,False,21,night,
CP-SAT,0,10000,0.1,False,22,morning,
CP-SAT,0,10000,0.1,False,22,day,
CP-SAT,0,10000,0.1,False,22,night,
CP-SAT,0,10000,0.1,False,23,morning,
CP-SAT,0,10000,0.1,False,23,day,
CP-SAT,0,10000,0.1,False,23,night,
CP-SAT,0,10000,0.1,False,24,morning,
CP-SAT,0,10000,0.1,False,24,day,
CP-SAT,0,10000,0.1,False,24,night,
CP-SAT,0,10000,0.1,False,25,morning,
CP-SAT,0,10000,0.1,False,25,day,
CP-SAT,0,10000,0.1,False,25,night,
CP-SAT,0,10000,0.1,False,26,morning,
CP-SAT,0,10000,0.1,False,26,day,
CP-SAT,0,10000,0.1,False,26,night,
CP-SAT,0,10000,0.1,False,27,morning,
CP-SAT,0,10000,0.1,False,27,day,
CP-SAT,0,10000,0.1,False,27,night,
CP-SAT,0,10000,0.1,False,28,morning,
CP-SAT,0,10000,0.1,False,28,day,
CP-SAT,0,10000,0.1,False,28,night,
CP-SAT,0,10000,0.1,False,29,morning,
CP-SAT,0,10000,0.1,False,29,day,
CP-SAT,0,10000,0.1,False,29,night,
CP-SAT,0,10000,0.1,False,30,morning,
CP-SAT,0,10000,0.1,False,30,day,
CP-SAT,0,10000,0.1,False,30,night,
Monte Carlo,0,10000,0.1,True,1,morning,3D001;1D001;1D010;2D002
Monte Carlo,0,10000,0.1,True,1,day,2D003;1D006;2D001;1D003
Monte Carlo,0,10000,0.1,True,1,night,2D004;2D006;1D005;1D004
Monte Carlo,0,10000,0.1,True,2,morning,3D003;1D006;1D002;1D010
Monte Carlo,0,10000,0.1,True,2,day,3D004;1D009;2D001;1D004
Monte Carlo,0,10000,0.1,True,2,night,3D001;1D005;2D004;2D003
Monte Carlo,0,10000,0.1,True,3,morning,3D004;2D006;1D002;2D002
